schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Fall 2023,48709,History and Future of Interaction Design,12.0,A,MW,11:00AM,12:20PM,MM 107,"Pittsburgh, Pennsylvania",Pangaro
Fall 2023,48716,MSCD Pre-thesis II,6.0,A,R,10:00AM,11:50AM,MM 307,"Pittsburgh, Pennsylvania","Erdolu, Noel"
Fall 2023,48718,Urban Design Studio III,18.0,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Gruber
Fall 2023,48725,Graduate Real Estate Development,VAR,A,TR,08:00AM,09:20AM,WEH 5415,"Pittsburgh, Pennsylvania",Vavasis
Fall 2023,48727,Inquiry into Computational Design,9.0,A,W,09:00AM,11:50AM,MM 303,"Pittsburgh, Pennsylvania",Cardoso Llach
Fall 2023,48729,"Sustainability, Health and Productivity to Accelerate a Quality Built Environmen",9-12,A,TR,09:30AM,10:50AM,MM 415IW,"Pittsburgh, Pennsylvania",Loftness
Fall 2023,48731,Sustainable Design Synthesis Prep,1-18,A,F,09:30AM,11:50AM,MM 415IW,"Pittsburgh, Pennsylvania","Goral, Sawyer"
Fall 2023,48732,Sustainable Design Synthesis,"0,12,24",A,F,09:00AM,11:20AM,MM 415IW,"Pittsburgh, Pennsylvania",Sawyer
Fall 2023,48733,Environmental Performance Simulation,0-3,A,TR,09:30AM,10:50AM,CFA 206A,"Pittsburgh, Pennsylvania",Li
Fall 2023,48734,IDeaTe: Possibilistic Design,9.0,A,TR,07:00PM,08:20PM,HL A10,"Pittsburgh, Pennsylvania",Goral
Fall 2023,48736,Master's Independent Study,0-99,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cupkova
Fall 2023,,,,E,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cochran
Fall 2023,,,,F,TBA,,,TBA,"Pittsburgh, Pennsylvania",Sawyer
Fall 2023,,,,I,TBA,,,TBA,"Pittsburgh, Pennsylvania",Gruber
Fall 2023,,,,J,TBA,,,TBA,"Pittsburgh, Pennsylvania",Byrne
Fall 2023,,,,M,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cardoso Llach
Fall 2023,,,,O,TBA,,,TBA,"Pittsburgh, Pennsylvania",Huber
Fall 2023,,,,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Baird
Fall 2023,,,,V,TBA,,,TBA,"Pittsburgh, Pennsylvania",Loftness
Fall 2023,,,,X,TBA,,,TBA,"Pittsburgh, Pennsylvania",Lee
Fall 2023,48740,Urban Design Methods and Theory,9.0,A,F,09:00AM,11:50AM,CFA 211,"Pittsburgh, Pennsylvania",Kline
Fall 2023,48742,Planning and Public Policy for the Future of Urbanism,VAR,A,T,07:00PM,09:50PM,MM 415IW,"Pittsburgh, Pennsylvania",Chambers
Fall 2023,48743,Introduction to Ecological Design Thinking,9.0,A,W,10:00AM,12:20PM,MM 321,"Pittsburgh, Pennsylvania",Cupkova
Fall 2023,,Histories of Urban Design,,A,TR,03:30PM,04:50PM,CFA 102,"Pittsburgh, Pennsylvania",Shaw
Fall 2023,48753,Intro to Urban Design Media,6.0,A,M,09:00AM,10:50AM,CFA 206A,"Pittsburgh, Pennsylvania",Abraham
Fall 2023,,Introduction to Architectural Robotics,,A,MW,02:00PM,03:50PM,MM C4,"Pittsburgh, Pennsylvania",Bard
Fall 2023,48763,Protean Systems: Sustainable Solutions for Uncertain Futures,VAR,A,MW,11:00AM,12:20PM,MM 415IW,"Pittsburgh, Pennsylvania",Lee
Fall 2023,48765,AECM Synthesis Project,12.0,A,MWF,02:00PM,03:20PM,MM 415IW,"Pittsburgh, Pennsylvania",Lee
Fall 2023,48767,Transdisciplinary Thinking,12.0,A,MWF,03:30PM,04:50PM,MM 415IW,"Pittsburgh, Pennsylvania",Quick
Fall 2023,48768,"Indoor Environmental Quality (IEQ); Energy, Health and Productivity",12.0,A,MW,09:30AM,10:50AM,CFA 303,"Pittsburgh, Pennsylvania",Pathak
Fall 2023,48769,Thesis/Project,VAR,A,TBA,,,TBA,"Pittsburgh, Pennsylvania","Cochran, Loftness"
Fall 2023,,,,B,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Cardoso Llach
Fall 2023,,,,C,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Cochran
Fall 2023,,,,D,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Loftness
Fall 2023,,,,E,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Varma
Fall 2023,,,,F,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,,,,G,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,48771,Fabricating Customization: Prototype,9.0,A,MF,09:30AM,10:50AM,MM C4,"Pittsburgh, Pennsylvania",Ficca
Fall 2023,48772,MAAD Advanced Synthesis Options Studio I,18.0,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,,,,B,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA
