schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Spring 2024,,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,48792,Ph.D. Independent Study,0-99,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Sawyer
Spring 2024,,,,C,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Cardoso Llach
Spring 2024,,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cupkova
Spring 2024,,,,E,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Cochran
Spring 2024,,,,G,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Gruber
Spring 2024,,,,H,TBA,,,TBA,"Pittsburgh, Pennsylvania",Damiani
Spring 2024,,,,I,TBA,,,TBA,"Pittsburgh, Pennsylvania",Baird
Spring 2024,,,,J,TBA,,,TBA,"Pittsburgh, Pennsylvania",Bard
Spring 2024,,,,K,TBA,,,TBA,"Pittsburgh, Pennsylvania",Gutschow
Spring 2024,,,,L,TBA,,,TBA,"Pittsburgh, Pennsylvania",Lee
Spring 2024,,,,M,TBA,,,TBA,"Pittsburgh, Pennsylvania",Lee
Spring 2024,,,,N,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Rehman
Spring 2024,,,,O,TBA,,,TBA,"Pittsburgh, Pennsylvania",Byrne
Spring 2024,,,,P,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,,,,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cooper
Spring 2024,,,,S,TBA,,,TBA,"Pittsburgh, Pennsylvania",Shaw
Spring 2024,,,,V,TBA,,,TBA,"Pittsburgh, Pennsylvania",Loftness
Spring 2024,,,,X,TBA,,,TBA,"Pittsburgh, Pennsylvania",Krishnamurti
Spring 2024,48793,Ph.D. Thesis,0-99,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Sawyer
Spring 2024,,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Byrne
Spring 2024,,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cardoso Llach
Spring 2024,,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cupkova
Spring 2024,,,,E,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cochran
Spring 2024,,,,F,TBA,,,TBA,"Pittsburgh, Pennsylvania",Ficca
Spring 2024,,,,G,TBA,,,TBA,"Pittsburgh, Pennsylvania",Gruber
Spring 2024,,,,H,TBA,,,TBA,"Pittsburgh, Pennsylvania",Damiani
Spring 2024,,,,I,TBA,,,TBA,"Pittsburgh, Pennsylvania",Baird
Spring 2024,,,,J,TBA,,,TBA,"Pittsburgh, Pennsylvania",Bard
Spring 2024,,,,K,TBA,,,TBA,"Pittsburgh, Pennsylvania",Gutschow
Spring 2024,,,,V,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Loftness
Spring 2024,,,,X,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Krishnamurti
Spring 2024,,"LEED, Green Design and Building Ratings",,A3,MW,11:00AM,12:20PM,CFA 102,"Pittsburgh, Pennsylvania",Baird
Spring 2024,48797,PhD Dissertation Defense,"5.0,36",A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Sawyer
Spring 2024,,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Byrne
Spring 2024,,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cardoso Llach
Spring 2024,,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cupkova
Spring 2024,,,,E,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cochran
Spring 2024,,,,F,TBA,,,TBA,"Pittsburgh, Pennsylvania",Baird
Spring 2024,,,,G,TBA,,,TBA,"Pittsburgh, Pennsylvania",Gruber
Spring 2024,,,,X,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Krishnamurti
Spring 2024,60101,"Foundations: Risk, Agency, Failure",10.0,A,MW,08:00AM,10:50AM,DH B309,"Pittsburgh, Pennsylvania",Ray
Spring 2024,,,,B,MW,02:00PM,04:50PM,DH B309,"Pittsburgh, Pennsylvania",Andrew
Spring 2024,,,,C,TR,02:00PM,04:50PM,DH B309,"Pittsburgh, Pennsylvania",Washko
Spring 2024,60106,Cultural History of the Visual Arts - the Modern Period,9.0,A,M,07:00PM,09:20PM,PH A19,"Pittsburgh, Pennsylvania",Versari
Spring 2024,,,,B,W,07:00PM,09:20PM,PH A19,"Pittsburgh, Pennsylvania",Versari
Spring 2024,60107,Foundations: Critical Studies,9.0,A,T,07:00PM,09:20PM,WEH 5403,"Pittsburgh, Pennsylvania",Kim
Spring 2024,,,,B,W,07:00PM,09:20PM,WEH 5310,"Pittsburgh, Pennsylvania",Kim
Spring 2024,60120,Foundations: Digital Media,10.0,A,MW,02:00PM,04:50PM,CFA 318,"Pittsburgh, Pennsylvania",Pedercini
Spring 2024,,,,B,TR,02:00PM,04:50PM,WEH 5202,"Pittsburgh, Pennsylvania",Levin
Spring 2024,60125,IDeATe: Introduction to 3D Animation Pipeline,12.0,A,TR,12:30PM,01:50PM,CFA 317,"Pittsburgh, Pennsylvania",Mahler
Spring 2024,60135,Foundations: Sculpture II,10.0,A,MW,08:00AM,10:50AM,DH C200,"Pittsburgh, Pennsylvania",Ku
Spring 2024,,,,B,MW,02:00PM,04:50PM,DH C200,"Pittsburgh, Pennsylvania",Ku
Spring 2024,,,,C,TR,08:00AM,10:50AM,DH C200,"Pittsburgh, Pennsylvania",Ransom
Spring 2024,60136,Ceramics for Non-Majors,10.0,A,MW,02:00PM,04:50PM,DH B301,"Pittsburgh, Pennsylvania",Sekino-Bove
Spring 2024,60141,Black and White Photography I,10.0,A,MW,08:00AM,10:50AM,MM B10D,"Pittsburgh, Pennsylvania",Antonelli
Spring 2024,,,,B,MW,02:00PM,04:50PM,MM B10D,"Pittsburgh, Pennsylvania",Carroll
Spring 2024,,,,C,MW,07:00PM,09:50PM,MM B10D,"Pittsburgh, Pennsylvania",Carroll
Spring 2024,60142,Digital Photography I,10.0,A,TR,08:00AM,10:50AM,MM B2,"Pittsburgh, Pennsylvania",Mantle
Spring 2024,,,,B,TR,02:00PM,04:50PM,MM B2,"Pittsburgh, Pennsylvania",Blum
