schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Summer One 2024,,,,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Dickey
Summer One 2024,21122,Integration and Approximation,10.0,S,MTWRF,12:30PM,01:50PM,HH B103,"Pittsburgh, Pennsylvania",Flaherty
Summer One 2024,,,,W,UMTWR,11:00AM,12:30PM,TBA,"Doha, Qatar",Instructor TBA
Summer One 2024,21127,Concepts of Mathematics,12.0,S,MTWRF,11:00AM,12:20PM,SH 105,"Pittsburgh, Pennsylvania",Abdelghany
Summer One 2024,21241,Matrices and Linear Transformations,12.0,S,MTWRF,09:30AM,10:50AM,BH A36,"Pittsburgh, Pennsylvania",Handron
Summer One 2024,21259,Calculus in Three Dimensions,10.0,S,MTWRF,12:30PM,01:50PM,MM 103,"Pittsburgh, Pennsylvania",Johnson
Summer One 2024,21260,Differential Equations,9.0,S,MTWRF,11:00AM,12:20PM,HH B103,"Pittsburgh, Pennsylvania",Handron
Summer One 2024,21325,Probability,9.0,S,MTWRF,12:30PM,01:50PM,DH 1211,"Pittsburgh, Pennsylvania",Newman
Summer One 2024,21355,Principles of Real Analysis I,9.0,S,MTWRF,11:00AM,12:20PM,DH 1211,"Pittsburgh, Pennsylvania",Flaherty
Summer One 2024,21599,Undergraduate Reading and Research,0-99,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,,,,S,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,21900,Reading and Research,0-99,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Conley
Summer One 2024,21901,Master's Degree Research,0-99,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,21902,Doctoral Thesis Research,0-99,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Conley
Summer One 2024,24391,Mechanical Engineering Project,"3-12,18",A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hertz
Summer One 2024,,,,S,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hertz
Summer One 2024,24392,Mechanical Engineering Project,3-18,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hertz
Summer One 2024,,,,S,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hertz
Summer One 2024,24491,Department Research Honors,3-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hertz
Summer One 2024,,,,S,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hertz
Summer One 2024,24492,Department Research Honors,3-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hertz
Summer One 2024,,,,S,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hertz
Summer One 2024,24793,Supervised Reading,0-99,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hertz
Summer One 2024,24794,Master of Science Project,0-99,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hertz
Summer One 2024,24796,Graduate Reading and Research,0-99,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hertz
Summer One 2024,92897,Health Care Quality,4.0,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Block
Summer One 2024,82103,Elementary French I Online,12.0,S,TBA,,,TBA,"Pittsburgh, Pennsylvania",Niang
Summer One 2024,82133,Elementary Chinese Online I,12.0,S,TBA,,,TBA,"Pittsburgh, Pennsylvania",Wu
Summer One 2024,82134,Elementary Chinese Online II,12.0,S,TBA,,,TBA,"Pittsburgh, Pennsylvania",Wu
Summer One 2024,82139,"Chinese Language, Culture and Society",9.0,S,TBA,,,TBA,"Pittsburgh, Pennsylvania",Wu
Summer One 2024,82146,Intensive Spanish Language and Culture: Elementary Level,3-18,S,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tardio
Summer One 2024,82171,Elementary Japanese I,12.0,S,MTWRF,08:00AM,09:20AM,CMU REMOTE,"Pittsburgh, Pennsylvania",Zhan
